[2021-11-15 18:50:35,846] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 18:51:52,470] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 18:51:52,477] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 18:54:53,867] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 18:54:53,873] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 18:55:31,179] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 18:55:31,188] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 18:56:09,972] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 18:56:09,979] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 18:56:27,928] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 18:56:27,934] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 18:56:50,031] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 18:56:50,038] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 18:57:05,515] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 18:57:05,520] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 19:02:02,979] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 19:02:02,984] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
